id,title,release_date,vote_average,vote_count
393209,Avatar 5,2031-12-17,0.0,0
1638215,Luciferum,2031-06-24,0.0,0
1317715,Quando a Luz Se Apaga,2031-01-01,0.0,0
1637070,"""EFENDİ""",2030-08-16,0.0,0
1645631,Mi loco verano del 86,2030-07-06,0.0,0
216527,Avatar 4,2029-12-19,0.0,0
1451567,Coco 2,2029-11-21,0.0,0
1463621,Welts,2029-11-16,0.0,0
1598499,The Under-Zoo,2029-06-22,0.0,0
1335661,Fantasyland,2029-01-04,0.0,0
1629462,In the Meantime,2029-01-01,0.0,0
1605186,There For You,2028-12-27,0.0,0
1625852,A Sleigh of One's Own,2028-12-25,0.0,0
1468313,Untitled Sonic Universe Film,2028-12-22,0.0,0
1439365,Half Blood Origins or Lush Stealth Era,2028-12-18,0.0,0
1211845,Safe Unless You Pull The Trigger,2028-12-01,0.0,0
1545226,Untitled Teenage Mutant Ninja Turtles Film,2028-11-16,0.0,0
1639029,Manson's War,2028-11-12,0.0,0
1138526,The Lunar Chronicles,2028-11-02,0.0,0
1608956,Lesai: The Movie,2028-10-27,0.0,0
980571,Fractured Justice,2028-10-20,0.0,0
1411095,Doosara Mahayudh,2028-10-18,0.0,0
1653067,The Young Justice,2028-10-13,0.0,0
1626020,Halmeoni,2028-09-16,0.0,0
1536556,Grave Echos,2028-08-17,0.0,0
1411093,Pehla Mahayudh,2028-08-11,0.0,0
1553031,Burnout: A Formula 1 Story,2028-07-21,0.0,0
615127,The Hello Kitty Movie,2028-07-20,0.0,0
1619712,Cast in Blue,2028-07-12,0.0,0
1620192,Cabanga,2028-07-03,0.0,0
1641824,SCP:GALLIONIC,2028-06-30,0.0,0
1364797,Dynamic Duo,2028-06-29,0.0,0
1519227,Captain Zero: The Movie,2028-06-18,0.0,0
1327821,Incredibles 3,2028-06-16,0.0,0
1615789,Волшебник Изумрудного города. Возвращение домой,2028-06-01,0.0,0
1504349,Lilo & Stitch 2,2028-05-26,0.0,0
1574840,The Mummy 4,2028-05-19,0.0,0
1597817,Headout,2028-05-12,0.0,0
1566914,The Silver Bandits,2028-04-21,0.0,0
1597786,Untitled Illumination Film,2028-04-18,0.0,0
1247606,The Beatles: Ringo,2028-04-05,0.0,0
1247605,The Beatles: Paul,2028-04-05,0.0,0
1247603,The Beatles: George,2028-04-05,0.0,0
1247601,The Beatles: John,2028-04-05,0.0,0
1488743,The Chosen: Resurrection,2028-03-31,0.0,0
755679,Fast Forever,2028-03-17,0.0,0
748865,"Oh, the Places You'll Go!",2028-03-16,0.0,0
1647603,Ono Ghost Market,2028-03-10,0.0,0
1263361,Sadko,2028-03-08,0.0,0
1637854,Alleen,2028-02-18,0.0,0
1528642,Sugauti vanagą,2028-01-13,0.0,0
1627140,BITROT™,2028-01-07,0.0,0
1599330,Wilde VS England,2028-01-05,0.0,0
1643101,Untitled Feature Baseball Documentary,2028-01-01,0.0,0
1593390,The Nutcracker,2028-01-01,0.0,0
1583066,Dunno,2028-01-01,0.0,0
1554140,Mavka. A Real Myth 2,2027-12-31,0.0,0
1418003,808,2027-12-31,0.0,0
