adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",https://www.avatar.com/movies,393209,tt5637536,['US'],en,Avatar 5,The fifth installment of the franchise. Plot TBA.,2.3908,/rtmmvqkIC5zDMEd638Es2woxbz8.jpg,"[{'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2031-12-17,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Avatar 5,False,0.0,0
False,/v9r1vYBVxAgbsQxcPvf3N2QU13q.jpg,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",https://projectum000.com/,1638215,tt39211466,"['BE', 'IN', 'KP', 'GB', 'US']",en,Luciferum,"Luciferum is an upcoming film set within the PROJECTUM 000° cinematic universe, exploring darkness, power and the re-emergence of light through intersecting characters, timelines and events where ""An Endless Beginning"" shapes what follows.",0.2846,/otuUJ689QEUVeYUoL6P4KhuFzQZ.jpg,"[{'id': 289828, 'logo_path': None, 'name': 'Cosmocritor', 'origin_country': ''}, {'id': 289829, 'logo_path': None, 'name': 'Seven Cosmicals', 'origin_country': ''}, {'id': 289830, 'logo_path': None, 'name': 'V 13 Totalitarians', 'origin_country': ''}, {'id': 289831, 'logo_path': None, 'name': 'Nothing Everything Written', 'origin_country': ''}]","[{'iso_3166_1': 'KP', 'name': 'North Korea'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'IL', 'name': 'Israel'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2031-06-24,0,0,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hebrew', 'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'Sanskrit', 'iso_639_1': 'sa', 'name': ''}, {'english_name': 'Tamil', 'iso_639_1': 'ta', 'name': 'தமிழ்'}]",In Production,The Dark Brings Back The Brightest Of All Lights,Luciferum,False,0.0,0
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,1317715,,['BR'],pt,Quando a Luz Se Apaga,,0.1778,/7gM6x17yC8FvzcHggFkSUKCEjna.jpg,"[{'id': 284803, 'logo_path': None, 'name': 'Paradoxo', 'origin_country': ''}, {'id': 284804, 'logo_path': None, 'name': 'Rodrigo Apresentador', 'origin_country': ''}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2031-01-01,0,0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",In Production,,Quando a Luz Se Apaga,False,0.0,0
False,,,0,[],,1637070,,['TR'],tr,"""EFENDİ""",The debut feature of Ahmed Said Ağaoğlu. A coming-of-age story. In early development.,0.0752,/u74n5XqnRsBVolSjwELx8raU6Io.jpg,[],"[{'iso_3166_1': 'TR', 'name': 'Turkey'}]",2030-08-16,0,90,"[{'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Planned,"""You're still young. That's your fault.""","""EFENDİ""",False,0.0,0
False,,,1750000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,1645631,,['ES'],es,Mi loco verano del 86,,0.1056,,"[{'id': 286830, 'logo_path': '/twuNecl2G471T79yU1sWibouZ7e.png', 'name': 'iJep Productions', 'origin_country': 'ES'}]",[],2030-07-06,0,0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Planned,,Mi loco verano del 86,False,0.0,0
False,,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",https://www.avatar.com/movies,216527,tt3095356,['US'],en,Avatar 4,The fourth installment of the franchise. Plot TBA.,3.5035,/qzMYKnT4MG1d0gnhwytr4cKhUvS.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2029-12-19,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Avatar 4,False,0.0,0
False,/3mEbvXHnmieA2RFRcMXbXeVvkNt.jpg,"{'id': 1451578, 'name': 'Coco Collection', 'poster_path': '/mzXleaxlzzxd8ViBNIxgsuJQC8T.jpg', 'backdrop_path': '/yTj4TieaECXAmbnQ0OL2lnh1qEM.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,1451567,tt36261036,['US'],en,Coco 2,The sequel to the 2017 film. Plot TBA.,2.6128,/7YiB8tOQcY8ApdKkCnjQL5jGkIP.jpg,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2029-11-21,0,0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Coco 2,False,0.0,0
False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,1463621,,['US'],en,Welts,A group of troubled youths plot to murder the sadistic bully who has been ruining their lives.,0.176,,"[{'id': 241519, 'logo_path': None, 'name': 'Macha Films', 'origin_country': ''}]",[],2029-11-16,0,0,[],Planned,,Welts,False,0.0,0
False,,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",,1598499,,"['MX', 'US']",es,El Infra-zoologico,"Set in a post-apocalyptic world, two robot friends named Tecno and Digital, who are huge animal lovers, discover a mysterious hole that takes them to the exotic, underground world of the last surviving animals on Earth, who have now turned into monstrous mutants.",0.2498,/dAeKXS2fFpHp3tj3fTXbxPIbNQ.jpg,"[{'id': 285979, 'logo_path': None, 'name': 'Gullstar Animations', 'origin_country': ''}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2029-06-22,0,0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",In Production,Welcome to the jungle of the future.,The Under-Zoo,False,0.0,0
False,,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,1335661,,['BR'],pt,Fantasyland,,0.08,/70uh9apJHfn0O1VsgUWzFrjUeJO.jpg,[],"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2029-01-04,0,0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Planned,,Fantasyland,False,0.0,0
